ตำแหน่ง,กลุ่ม,ลำดับ,ชื่อวิชา/หัวข้อ,ประเภทที่ต้องตรวจ,สถานะลิงก์คลิปในชีต,สถานะเอกสาร,ลิงก์โพสต์/กลุ่มในชีต,ลงคลิป(คอลัมน์ชีต),มีคลิปในเครื่อง?,ระดับการจับคู่,คะแนน,คลิปที่น่าจะตรงที่สุด,path คลิป,คำที่เจอ,ปีในคลิป,หมายเหตุ,อัปเดตล่าสุด
กทม. เจ้าพนักงานธุรการ,กทม. เจ้าพนักงานธุรการ,2,พระราชบัญญัติ การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ลงลิงก์แล้ว,https://www.facebook.com/groups/1600436281247690/announcements?locale=th_TH,ลงคลิปแล้ว,มี,ตรงมาก,100,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,D:\ตัดแล้ว\การเงิน\10 จัดซื้อจัดจ้าง\02 ระเบียบ จัดซื้อ\ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ | 2560,2560,,2026-06-12T03:55:22.507Z
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,1,ความรู้เบื้องตันเกี่ยวกับเศรษฐกิจ การเงินการคลัง และงบประมาณ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,43,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,4,พระราชบัญญัติ การร่วมลงทุนระหว่างรัฐและเอกชน พ.ศ. 2562,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,5,กฎกระทรวงออกตามความในพระราชบัญญัติ การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,มี,ตรงมาก,92,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,D:\ตัดแล้ว\การเงิน\10 จัดซื้อจัดจ้าง\02 ระเบียบ จัดซื้อ\ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,การจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ | 2560,2560,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,7,ระเบียบคณะกรรมการนโยบายและกำกับการบริหารหนี้สาธารณะว่าด้วยหลักเกณฑ์การกู้เงินขององค์กรปกครองส่วนท้องถิ่น พ.ศ. 2568,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,8,ข้อบัญญัติกรุงเทพมหานคร เรื่อง วิธีการบประมาณ พ.ศ. 2563,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,9,ข้อบัญญัติกรุงเทพมหานคร เรื่อง การทรัพย์สิน พ.ศ. 2538 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,10,ระเบียบกรุงเทพมหานครว่าด้วยการรับเงิน การเบิกจ่ายเงิน การเก็บรักษาเงิน การนำส่งเงินและการตรวจเงิน พ.ศ. 2555 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการคลัง,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,11,ระเบียบกรุงเทพมหานครว่าด้วยวิธีปฏิบัติเกี่ยวกับงบประมาณ พ.ศ. 2568,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/955279973914785/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,43,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กทม. นักวิชาการเงินและบัญชี,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,1.1,ด้านการเงิน การเบิกเงิน การจ่ายเงิน การรับเงิน การนำส่งเงิน การเก็บรักษาเงิน การตรวจและอนุมัติฎีกา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/956340890475360/,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการเงินและบัญชี,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,1.2,ด้านการบัญชี การจัดทำงบการเงิน งบพิสูจน์ยอดเงินฝากธนาคาร หลักการบัญชีคู่ตรวจสอบบัญชีการเงินเบื้องต้น,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/956340890475360/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,42,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กทม. นักวิชาการเงินและบัญชี,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,1.4,ด้านการจัดหาพัสดุ และการบริหารพัสดุ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/956340890475360/,,มี,น่าจะตรง,57,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,D:\ตัดแล้ว\การเงิน\10 จัดซื้อจัดจ้าง\02 ระเบียบ จัดซื้อ\ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560 EP4.mp4,และการบริหารพัสดุ,2560,,
กทม. นักวิชาการเงินและบัญชี,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,2.3,ข้อบัญญัติกรุงเทพมหานคร เรื่อง วิธีการงบประมาณ พ.ศ. 2563,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/956340890475360/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,42,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กทม. นักวิชาการเงินและบัญชี,กทม. นักวิชาการเงินและบัญชี / นักวิชาการคลัง,2.4,ระเบียบกรุงเทพมหานครว่าด้วยการกำหนดประเภทรายรับ - รายจ่าย และการปฏิบัติเกี่ยวกับงบประมาณ พ.ศ. 2533 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/955243797251736/posts/956340890475360/,,มี,มีคลิปใกล้เคียง ต้องตรวจ,41,การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,D:\ตัดแล้ว\ลงแล้ว\การบริหารงบประมาณ เฉพาะนักจัด ปิดคอร์ส.mp4,งบประมาณ | งบ | บริหารงบประมาณ | การบริหารงบประมาณ,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,1,พระราชบัญญัติ การศึกษาแห่งชาติ พ.ศ. 2542 และที่แก้ไขเพิ่มเติม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,2,พระราชบัญญัติ พื้นที่นวัตกรรมการศึกษา พ.ศ. 2562,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,3,พระราชบัญญัติ การบริหารงานและการให้บริการภาครัฐผ่านระบบดิจิทัล พ.ศ. 2562,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,6,พระราชบัญญัติ การศึกษาภาคบังคับ พ.ศ. 2545,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,7,พระราชบัญญัติ การพัฒนาเด็กปฐมวัย พ.ศ. 2562,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,8,แผนการศึกษาแห่งชาติ พ.ศ. 2560 - 2579 และนโยบายด้านการศึกษาของชาติและกรุงเทพมหานคร,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,9,หลักสูตรแกนกลางการศึกษาขั้นพื้นฐาน พุทธศักราช 2551 และฉบับปรับปรุง,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,10,การประกันคุณภาพการศึกษา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,11,การจัดทำแผนงาน โครงการ กิจกรรม เพื่อส่งเสริมสนับสนุนการจัดการศึกษา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,มี,มีคลิปใกล้เคียง ต้องตรวจ,32,08_นักวิเคราะห์อัยการ_อาจเกี่ยว.mp4,D:\ตัดแล้ว\เตรียมคลิป สป อว\08 วิเคราะห์นโยบาย แผนงาน โครงการ การบริหาร\08_นักวิเคราะห์อัยการ_อาจเกี่ยว.mp4,โครงการ,,,
กทม. นักวิชาการศึกษา,กทม. นักวิชาการศึกษา,12,แนวโน้มเกี่ยวกับการศึกษายุคใหม่ สภาพแวดล้อม สถานการณ์ปัจจุบันทางการเมือง เศรษฐกิจ และสังคม,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,,https://www.facebook.com/groups/1922952399108991/announcements?locale=th_TH,,มี,มีคลิปใกล้เคียง ต้องตรวจ,27,ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,D:\ตัดแล้ว\มีนาคม 69\04032026\ความรู้สถานการณ์ สังคม เศรษฐกิจ การเมืองการปกครอง.mp4,เศรษฐกิจ,,,
กทม. นิติกร,กทม. นิติกร,4,ประมวลกฎหมายวิธีพิจารณาความอาญา,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1324351586173686/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
กทม. พนักงานเทศกิจปฏิบัติงาน,กทม. พนักงานเทศกิจปฏิบัติงาน,1,ความรู้เกี่ยวกับสิทธิและเสรีภาพของประชาชนตามกฎหมายรัฐธรรมนูญ,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,ยังไม่ลงลิงก์,https://www.facebook.com/groups/1663666134840541/announcements?locale=th_TH,,ไม่พบ,ไม่พบคลิปในดัชนี,,,,,,,
